source_index,source_file,global_request_id,依頼No.,項目名,項目No.,測光ﾎﾟｰﾄ,処理値,時間,吸光度
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,27.2,11701.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,36.0,11724.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,45.2,11746.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,54.0,11772.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,63.2,11803.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,72.0,11832.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,81.2,11856.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,90.0,11881.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,99.2,11907.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,108.0,11940.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,117.2,11980.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,126.0,12007.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,135.2,12039.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,144.0,12073.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,153.2,12111.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,162.0,12140.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,171.2,12174.0
1,240517_calCSV_data.csv,1_C012,C012,TAT206,41,20,21.2,180.0,12205.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,0.0,11692.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,9.2,11695.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,18.0,11710.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,27.2,11733.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,36.0,11766.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,45.2,11805.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,54.0,11841.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,63.2,11885.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,72.0,11925.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,81.2,11981.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,90.0,12019.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,99.2,12070.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,108.0,12127.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,117.2,12170.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,126.0,12231.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,135.2,12286.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,144.0,12334.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,153.2,12398.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,162.0,12451.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,171.2,12515.0
1,240517_calCSV_data.csv,1_C013,C013,TAT206,41,15,35.6,180.0,12567.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,0.0,11569.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,9.2,11582.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,18.0,11600.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,27.2,11625.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,36.0,11656.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,45.2,11694.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,54.0,11724.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,63.2,11766.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,72.0,11808.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,81.2,11858.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,90.0,11896.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,99.2,11956.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,108.0,12000.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,117.2,12050.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,126.0,12103.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,135.2,12156.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,144.0,12204.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,153.2,12261.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,162.0,12317.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,171.2,12370.0
1,240517_calCSV_data.csv,1_C014,C014,TAT206,41,16,34.1,180.0,12422.0
1,240517_calCSV_data.csv,1_C015,C015,TAT206,41,17,35.0,0.0,11580.0
1,240517_calCSV_data.csv,1_C015,C015,TAT206,41,17,35.0,9.2,11596.0
1,240517_calCSV_data.csv,1_C015,C015,TAT206,41,17,35.0,18.0,11608.0
1,240517_calCSV_data.csv,1_C015,C015,TAT206,41,17,35.0,27.2,11636.0
1,240517_calCSV_data.csv,1_C015,C015,TAT206,41,17,35.0,36.0,11667.0
1,240517_calCSV_data.csv,1_C015,C015,TAT206,41,17,35.0,45.2,11700.0
1,240517_calCSV_data.csv,1_C015,C015,TAT206,41,17,35.0,54.0,11740.0
1,240517_calCSV_data.csv,1_C015,C015,TAT206,41,17,35.0,63.2,11781.0
1,240517_calCSV_data.csv,1_C015,C015,TAT206,41,17,35.0,72.0,11823.0
1,240517_calCSV_data.csv,1_C015,C015,TAT206,41,17,35.0,81.2,11870.0
